,artistName,artistID
0,A Tribe Called Quest,
1,A-Trak,
2,A$AP Ferg,
3,A$AP Rocky,
4,Above & Beyond,
5,Action Bronson,
6,Adam Beyer,
7,Adventure Club,
8,Aerosmith,
9,Aesop Rock,
10,Afrojack,
11,Air,
12,Airbourne,
13,AJR,
14,Akhil Talreja,
15,Alabama Shakes,
16,Alan Walker,
17,Alessia Cara,
18,Alesso,
19,Alex Gaudino,
20,Alice Cooper,
21,Alice in Chains,
22,Alison Wonderland,
23,Alok,
24,Alt-J,
25,AlunaGeorge,
26,Alvin Risk,
27,Aly & Fila,
28,AME,
29,Amelie Lens,
30,Amon Amarth,
31,Amyl & The Sniffers,
32,Anders Osborne,
33,Anderson .Paak and The Free Nationals,
34,Andy C,
35,Andy Moor,
36,Angerfist,
37,Angy Kore,
38,Animal Collective,
39,Annie Mac,
40,Anthrax,
41,Antoine Clamaran,
42,Aphex Twin,
43,Arcade Fire,
44,Arch Enemy,
45,Arctic Monkeys,
46,Arctic Moon,
47,Arkells,
48,Armin Van Buuren,
49,Art Department,
50,Asking Alexandria,
51,Astrix,
52,At The Drive-In,
53,Atmosphere,
54,Atreyu,
55,Aurora,
56,Avenged Sevenfold,
57,Avicii,
58,Axwell,
59,Axwell & Ingrosso,
60,Azealia Banks,
61,Backstreet Boys,
62,Bad Religion,
63,Band of Horses,
64,Barenaked Ladies,
65,Baroness,
66,Basement Jaxx,
67,Bassjackers,
68,Bassnectar,
69,Bastille,
70,Basto!,
71,Battles,
72,Beach House,
73,Beach Slang,
74,Beats Antique,
75,Beck,
76,Beirut,
77,Belle & Sebastian,
78,Ben Harper,
79,Benny Benassi,
80,Best Coast,
81,Beyonce,
82,Bicep,
83,Biffy Clyro,
84,Big Boi,
85,Big Freedia,
86,Big Gigantic,
87,Big Head Todd and the Monsters,
88,Big Wild,
89,Billie Eilish,
90,Billy Bragg,
91,Billy Idol,
92,Billy Talent,
93,Bingo Players,
94,Björk,
95,Bjorn Akesson,
96,Bl3Nd,
97,Black Eyed Peas,
98,Black Midi,
99,Black Rebel Motorcycle Club,
100,Black Sabbath,
101,Blake Shelton,
102,Blasterjaxx,
103,Bleachers,
104,Blink-182,
105,Blitzen Trapper,
106,Bloc Party,
107,Blood Orange,
108,Blur,
109,Bob Sinclar,
110,Body Count,
111,Bombay Bicycle Club,
112,Bombino,
113,Bombs Away,
114,Bon Iver,
115,Bon Jovi,
116,Bonobo,
117,Borgeous,
118,Borgore,
119,Boy Pablo,
120,Boys Noize,
121,BØRNS,
122,Brad Paisley,
123,Brandi Carlile,
124,Brantley Gilbert,
125,Breaking Benjamin,
126,Breathe Carolina,
127,Bring Me The Horizon,
128,Bro Safari,
129,BROCKHAMPTON,
130,Broken Social Scene,
131,Bruce Springsteen,
132,Bruno Mars,
133,Built To Spill,
134,Bullet For My Valentine,
135,Bush,
136,Busta Rhymes,
137,Cage the Elephant,
138,Cake,
139,Calexico,
140,Calvin Harris,
141,Camo & Krooked,
142,Capital Cities,
143,Car Seat Headrest,
144,Cardi B,
145,Caribou,
146,Carl Cox,
147,Carl Craig,
148,Carrie Underwood,
149,Carta,
150,Cash Cash,
151,Cat Dealers,
152,Cat Power,
153,Catfish and the Bottlemen,
154,Cedric Gervais,
155,Chance The Rapper,
156,Charles Bradley,
157,Charli XCX,
158,Charlotte Gainsbourg,
159,Chase & Status,
160,Chelsea Wolfe,
161,Chet Faker,
162,Chevelle,
163,Chicano Batman,
164,Childish Gambino,
165,Chris Liebing,
166,Chris Stapleton,
167,Christina Novelli,
168,Christine And The Queens,
169,Chromeo,
170,Chuckie,
171,CHVRCHES,
172,Cigarettes After Sex,
173,City and Colour,
174,Claptone,
175,Clean Bandit,
176,Clockwork,
177,Clutch,
178,Coheed and Cambria,
179,Cold War Kids,
180,Coldplay,
181,Com Truise,
182,Common,
183,Congorock,
184,Conspirator,
185,Counting Crows,
186,Courteeners,
187,Courtney Barnett,
188,Craig David,
189,Cristian Varela,
190,Crystal Castles,
191,Crystal Fighters,
192,Cypress Hill,
193,Dada Life,
194,Daft Punk,
195,Dan Deacon,
196,Daniel Portman,
197,Dannic,
198,Danny Avila,
199,Danny Brown,
200,Danny Tenaglia,
201,Darius Rucker,
202,Dark Star Orchestra,
203,Dash Berlin,
204,Datsik,
205,Dave Matthews Band,
206,Dave Seaman,
207,David Guetta,
208,Dawes,
209,De La Soul,
210,deadmau5,
211,Deafheaven,
212,Death Cab For Cutie,
213,Death Grips,
214,Deer Tick,
215,Deerhunter,
216,DEF LEPPARD,
217,Deftones,
218,Deichkind,
219,Deorro,
220,Depeche Mode,
221,Descendents,
222,Designer Drugs,
223,Destroyer,
224,Die Antwoord,
225,Die Toten Hosen,
226,Dierks Bentley,
227,Dillon Francis,
228,Dimitri Vegas & Like Mike,
229,Dinosaur Jr.,
230,Diplo,
231,Dirty Projectors,
232,Dirty South,
233,Dirtyloud,
234,Dirtyphonics,
235,Disclosure,
236,Disturbed,
237,Dixon,
238,DJ Snake,
239,Django Django,
240,Djs From Mars,
241,Don Diablo,
242,Donna the Buffalo,
243,Dopapod,
244,Dr. Dog,
245,Dr. Kucho!,
246,Drake,
247,Dream Wife,
248,Drive By Truckers,
249,Dropkick Murphys,
250,Dub Fx,
251,Dubfire,
252,Duke Dumont,
253,Dumpstaphunk,
254,Duran Duran,
255,Dvbbs,
256,Dyro,
257,Eagles of Death Metal,
258,Eats Everything,
259,Ed Sheeran,
260,Eddie Thoneick,
261,Editors,
262,Edward Sharpe & The Magnetic Zeros,
263,Edx,
264,Elbow,
265,Electric Forest,
266,Elephant Revival,
267,Ellen Allien,
268,Ellie Goulding,
269,Elton John,
270,Emancipator,
271,Eminem,
272,Empire of the Sun,
273,Empress Of,
274,Enter Shikari,
275,EOTO,
276,Eric Prydz,
277,Erick Morillo,
278,Erykah Badu,
279,Everything Everything,
280,Example,
281,Excision,
282,Explosions In The Sky,
283,Faith No More,
284,Faithless,
285,Fall Out Boy,
286,Fatboy Slim,
287,Father John Misty,
288,Fedde Le Grand,
289,Feist,
290,Felix Da Housecat,
291,Ferry Corsten,
292,Fetty Wap,
293,Fidlar,
294,Firebeatz,
295,First Aid Kit,
296,Fisher,
297,Fitz & The Tantrums,
298,Five Finger Death Punch,
299,FKA Twigs,
300,Fleet Foxes,
301,Fleetwood Mac,
302,Flogging Molly,
303,Florence + the Machine,
304,Florence and the Machine,
305,Flosstradamus,
306,Flume,
307,Flux Pavilion,
308,Flying Lotus,
309,Foals,
310,Fontaines D.C.,
311,Foo Fighters,
312,Foster the People,
313,Foxygen,
314,Frances,
315,Frank Carter & The Rattlesnakes,
316,Frank Ocean,
317,Franz Ferdinand,
318,Fritz Kalkbrenner,
319,Fucked Up,
320,fun.,
321,Future,
322,Future Islands,
323,G-Eazy,
324,Galactic,
325,Galantis,
326,Garbage,
327,Gareth Emery,
328,Gary Clark Jr,
329,Gemini,
330,George Ezra,
331,Ghostland Observatory,
332,Girl Talk,
333,Giuseppe Ottaviani,
334,Glass Animals,
335,Godsmack,
336,Godspeed You! Black Emperor,
337,Gogol Bordello,
338,Gojira,
339,Gold Panda,
340,Goo Goo Dolls,
341,Gorgon City,
342,Gorillaz,
343,Gov't Mule,
344,Grace Jones,
345,Grace Potter,
346,Gramatik,
347,Green Day,
348,Green Velvet,
349,Greensky Bluegrass,
350,Greta Van Fleet,
351,Grimes,
352,Griz,
353,Grizzly Bear,
354,Groove Armada,
355,Grouplove,
356,Gucci Mane,
357,Guided By Voices,
358,Guns N' Roses,
359,Guy Gerber,
360,GZA,
361,Haim,
362,Halestorm,
363,Halsey,
364,Hard Rock Sofa,
365,Hardwell,
366,Hatebreed,
367,Headhunterz,
368,Heartless Bastards,
369,Heatbeat,
370,Henri Pfr,
371,High Contrast,
372,Holy Fuck,
373,Honey Dijon,
374,Hot 100,
375,Hot Chip,
376,Hozier,
377,Hurray for the Riff Raff,
378,Ibeyi,
379,Ice Cube,
380,Icona Pop,
381,IDLES,
382,IGGY AZALEA,
383,Iggy Pop,
384,Illenium,
385,ILOVEMAKONNEN,
386,Imagine Dragons,
387,In Flames,
388,In This Moment,
389,Incubus,
390,Infected Mushroom,
391,Interpol,
392,Iron & Wine,
393,Iron Maiden,
394,Ivan Neville's Dumpstaphunk,
395,J. Cole,
396,Jack Johnson,
397,Jack U,
398,Jack White,
399,Jackmaster,
400,Jai Wolf,
401,Jake Owen,
402,James,
403,James Bay,
404,James Blake,
405,Jamie Jones,
406,Jamie XX,
407,Jamiroquai,
408,Jane's Addiction,
409,Janelle Monae,
410,Japandroids,
411,Japanese Breakfast,
412,Jason Aldean,
413,Jason Isbell,
414,Jason Isbell and the 400 Unit,
415,Jay-Z,
416,Jeff Mills,
417,Jerome Isma Ae,
418,Jimmy Eat World,
419,Jinjer,
420,John Digweed,
421,John Maus,
422,Jon Hopkins,
423,Josh Wink,
424,Judas Priest,
425,Judge Jules,
426,Juicy M,
427,Jungle,
428,Jurassic 5,
429,Justice,
430,Justin Bieber,
431,Justin Timberlake,
432,Kacey Musgraves,
433,Kaiser Chiefs,
434,Kaiserdisco,
435,Kamasi Washington,
436,Kanye West,
437,Kaskade,
438,Kate Tempest,
439,Katy B,
440,Kaytranada,
441,Keith Urban,
442,Keller Williams,
443,Kendrick Lamar,
444,Kenny Chesney,
445,Khruangbin,
446,Kid Cudi,
447,Kid Rock,
448,Kill The Noise,
449,Killswitch Engage,
450,King Diamond,
451,King Gizzard and the Lizard Wizard,
452,Kings of Leon,
453,Kinky,
454,Kiss,
455,Knife Party,
456,Koan Sound,
457,Korn,
458,Kraftwerk,
459,Kreator,
460,Krewella,
461,Kshmr,
462,Kurt Vile,
463,Kurt Vile & The Violators,
464,Kygo,
465,Lady Antebellum,
466,Laidback Luke,
467,Lamb of God,
468,Lana Del Rey,
469,Lazy Rich,
470,LCD Soundsystem,
471,Leftover Salmon,
472,Lenny Kravitz,
473,Less Than Jake,
474,Lettuce,
475,Lewis Capaldi,
476,Liam Gallagher,
477,Lil Durk,
478,Lil Pump,
479,Limp Bizkit,
480,Lindsey Stirling,
481,Linkin Park,
482,Little Dragon,
483,Little Louie Vega,
484,LIZZO,
485,Local Natives,
486,Loco Dice,
487,Lord Huron,
488,Lorde,
489,Los Lobos,
490,Lost Frequencies,
491,Lotus,
492,Low,
493,Luke Bryan,
494,Lush,
495,Lykke Li,
496,Lynyrd Skynyrd,
497,M83,
498,Mac DeMarco,
499,Mac Miller,
500,Maceo Plex,
501,Machine Gun Kelly,
502,Macklemore,
503,Madness,
504,Major Lazer,
505,Makj,
506,Marco Bailey,
507,Marco Carola,
508,Mari Ferrari,
509,Mariana Bo,
510,Marilyn Manson,
511,Marina and The Diamonds,
512,Mark Knight,
513,Mark Sixma,
514,Markus Schulz,
515,Maroon 5,
516,Marshmello,
517,Martin Garrix,
518,Martin Jensen,
519,Mary J. Blige,
520,Massive Attack,
521,Mastodon,
522,Matt & Kim,
523,Matt and Kim,
524,Mattn,
525,Me First and The Gimme Gimmes,
526,Megadeth,
527,Megan Thee Stallion,
528,Menno De Jong,
529,Metallica,
530,Metronomy,
531,MGMT,
532,Michael Franti & Spearhead,
533,Migos,
534,Miike Snow,
535,Mike Candys,
536,Mike Williams,
537,Miley Cyrus,
538,Milky Chance,
539,Miranda Lambert,
540,Miss Kittin,
541,Moby,
542,Moderat,
543,Modest Mouse,
544,Modestep,
545,moe.,
546,Mogwai,
547,Monika Kruse,
548,Mord Fustang,
549,Morgan Page,
550,Motionless in White,
551,Motley Crue,
552,Motorhead,
553,MØ,
554,MSTRKRFT,
555,Mt. Eden,
556,Mudhoney,
557,Mumford & Sons,
558,Muse,
559,MUTEMATH,
560,My Bloody Valentine,
561,My Chemical Romance,
562,My Morning Jacket,
563,N.E.R.D.,
564,Nas,
565,Nathaniel Rateliff,
566,Neelix,
567,Neil Young,
568,Neon Indian,
569,Nero,
570,Nervo,
571,Neutral Milk Hotel,
572,New Order,
573,Nick Cave & The Bad Seeds,
574,Nick Cave And The Bad Seeds,
575,Nick Warren,
576,Nicki Minaj,
577,Nicky Romero,
578,Nightwish,
579,Nina Kraviz,
580,Nine Inch Nails,
581,No Doubt,
582,Noel Gallagher's High Flying Birds,
583,NoFx,
584,Norah Jones,
585,Norman Doray,
586,Nothing But Thieves,
587,Odesza,
588,Of Monsters and Men,
589,Of Montreal,
590,Old Crow Medicine Show,
591,Oliver Heldens,
592,Outkast,
593,Oxia,
594,Ozzy Osbourne,
595,P!nk,
596,Paco Osuna,
597,Pan Pot,
598,Panic! At The Disco,
599,Papa Roach,
600,Papadosio,
601,Paramore,
602,Parcels,
603,Parcels,
604,Parov Stelar,
605,Parquet Courts,
606,Passion Pit,
607,Patti Smith,
608,Paul Kalkbrenner,
609,Paul Oakenfold,
610,Paul Van Dyk,
611,Pearl Jam,
612,Peggy Gou,
613,Pennywise,
614,People Under the Stairs,
615,Pet Shop Boys,
616,Pete Tong,
617,Phantogram,
618,Pharrell Williams,
619,Phil Lesh,
620,Phish,
621,Phoenix,
622,Pigeons Playing Ping Pong,
623,Pimps Of Joytime,
624,Pink,
625,Pixies,
626,PJ Harvey,
627,Placebo,
628,Playboi Carti,
629,Polica,
630,Pond,
631,Porter Robinson,
632,Portishead,
633,Portugal. the Man,
634,Post Malone,
635,Pretty Lights,
636,Primal Scream,
637,Primus,
638,Princess Nokia,
639,Project 46,
640,Prophets of Rage,
641,Public Enemy,
642,Purity Ring,
643,Pusha T,
644,Pussy Riot,
645,Queens of the Stone Age,
646,Quintino,
647,R3hab,
648,Ra Ra Riot,
649,Radiohead,
650,Rae Sremmurd,
651,Rag’n’Bone Man,
652,Railroad Earth,
653,Rainbow Kitten Surprise,
654,Rammstein,
655,Rancid,
656,Rave Republic,
657,Ray LaMontagne,
658,Real Estate,
659,Rebirth Brass Band,
660,Red Fang,
661,Red Hot Chili Peppers,
662,REEL BIG FISH,
663,Refused,
664,Rex Orange County,
665,Rezz,
666,Richie Hawtin,
667,Ride,
668,Rihanna,
669,Rise Against,
670,Rita Ora,
671,Rival Sons,
672,RJD2,
673,RL Grime,
674,Rob Zombie,
675,Robert Plant,
676,Robert Randolph & the Family Band,
677,Roisin Murphy,
678,Rolling Blackouts Coastal Fever,
679,Ross From Friends,
680,Royal Blood,
681,Royksopp,
